INTERNATIONAL POWERLIFTING FEDERATION,,,,,,,,,,,,,,,,,,,,,
"7th World Men's Classic Championships, Helsingborg (Sweden), 04-15.06.2019",,,,,,,,,,,,,,,,,,,,,
DETAILED SCORESHEET,,,,,,,,,,,,,,,,,,,,,
Open,,,,,,,,,,,,,,,,,,,,,
Rnk,   Name,d.o.b.,Team,Bwt,Lot,All Squat,,,,All Bench Press,,,,All Deadlift,,,,Total,IPF Pts,Pts,
 -59kg,,,,,,,,,,,,,,,,,,,,,
1,Fedosienko Sergey,1982,RUS,"58,55",3,"210,0","222,5","227,5",1,"155,0","162,5","167,5",1,"245,0","262,5","262,5",2,"635,0","828,63",12,
2,Leon Franklin,1983,ECU,"59,00",2,"210,0","220,0","227,5",3,"130,0","137,5","142,5",3,"225,0","235,0","240,0",4,"602,5","776,82",9,
3,Hisatsune Ayumi,1997,JPN,"58,85",5,"195,0","195,0","205,0",6,"130,0","137,5","140,0",4,"230,0","240,0","245,0",3,"587,5 -wj","756,99",8,
4,Metts Kole,1999,USA,"59,00",4,"205,0","215,0","215,0",4,"115,0","120,0","122,5",6,"235,0","250,0","255,0",1,"585,0 -wj","751,79",7,
5,Wszola Dariusz,1978,POL,"58,50",6,"192,5","202,5","210,0",5,"142,5","147,5","150,0",2,"190,0","200,0","205,0",6,"560,0","721,24",6,
6,Lakehal Mohamed,1982,ALG,"59,00",1,"220,0","220,0","230,0",2,"95,0","95,0","102,5",7,"215,0","225,0","242,5",5,"547,5","698,14",5,
7,Yu Benjamin,1989,CAN,"58,65",7,"162,5","172,5","175,0",7,"127,5","130,0","132,5",5,"190,0","197,5","202,5",7,"502,5","637,04",4,
 -66kg,,,,,,,,,,,,,,,,,,,,,
1,Okpoko Charles,1995,USA,"65,75",9,"242,5","255,5-w","263,0-w",1,"162,5","170,0","175,0",2,"250,0","262,5","272,5",1,"705,5 -w","847,38",12,
2,Hsieh Tsung-Ting,1982,TPE,"65,70",7,"225,0","235,0","237,5",5,"160,0","170,0","175,0",1,"250,0","262,5","270,0",2,"682,5","817,46",9,
3,Gladkikh Sergey,1989,RUS,"65,80",8,"235,0","245,0","250,0",2,"150,0","157,5","162,5",4,"255,0","265,0","272,5",3,"677,5","809,90",8,
4,Sichone Kavwa,1989,NZL,"65,80",2,"215,0","225,0","232,5",6,"155,0","162,5","167,5",3,"237,5","255,0","265,0",4,"642,5","763,67",7,
5,Tarinidis Panagiotis,1994,FRA,"65,85",1,"225,0","235,0","235,0",7,"160,0","167,5","167,5",5,"255,0","265,0","267,5",5,"640,0","759,92",6,
6,Tobias Mark,1995,CAN,"65,80",6,"230,0","240,0","247,5",3,"127,5","132,5","137,5",6,"250,0","250,0","267,5",7,"635,0","753,76",5,
7,Ikegami Hiroki,1991,JPN,"65,30",3,"190,0","200,0","210,0",8,"127,5","135,0",   X,7,"252,5","252,5","262,5",6,"587,5","695,20",4,
8,Zuniga Adrian,1987,MEX,"65,25",4,"172,5","182,5","182,5",9,"92,5","97,5","102,5",8,"190,0","200,0","207,5",9,"480,0","552,79",3,
—,Berglund Eddie,1995,SWE,"65,70",5,"225,0","235,0","242,5",4,"205,0","205,0","205,0",—,"220,0","235,0","235,0",8,DSQ,—,—,
 -74kg,,,,,,,,,,,,,,,,,,,,,
1,Atwood Taylor,1988,USA,"73,75",12,"262,5","276,5-w","283,0-w",1,"182,5","190,0","195,0",1,"287,5","302,5","312,5",2,"790,5 -w","881,74",12,
2,Bakkelund Kjell Egil,1988,NOR,"73,65",17,"237,5","245,0","245,0",11,"170,0","177,5","182,5",3,"300,0","310,0","312,5",1,"732,5","811,61",9,
3,Dunin Konstantin,1996,RUS,"73,55",15,"240,0","250,0","252,5",7,"160,0","167,5","172,5",6,"287,5","297,5-cj","307,5",3,"720,0 -cj","797,09",8,
4,Lee Clinton,1993,SGP,"73,05",2,"242,5","255,0","262,5",3,"157,5","165,0","167,5",8,"270,0","287,5","300,0",5,"710,0","788,72",7,
5,Ionin Yakov,1986,KAZ,"72,65",8,"250,0","255,0","255,0",5,"170,0","175,0","175,0",7,"270,0","277,5","300,0",9,"697,5","776,43",6,
6,Kennedy Chris,1992,NZL,"73,35",19,"230,0","250,0","257,5",6,"157,5","165,0","170,0",9,"265,0","277,5","285,0",10,"692,5","764,91",5,
